,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
56,TfIdf-max_features,NB,20,-1,0.364375,balanced,balanced,0.3137485894909916,0.364375,0.3238494118375202
57,TfIdf-max_features,SVM,25,-1,0.279375,balanced,balanced,0.2627800158858641,0.279375,0.21938942409883444
58,TfIdf-max_features,RF,25,-1,0.369375,balanced,balanced,0.3734209611451162,0.369375,0.3647153379961496
59,TfIdf-max_features,NB,25,-1,0.3625,balanced,balanced,0.31338548115303816,0.3625,0.3266214925978076
60,TfIdf-max_features,SVM,30,-1,0.329375,balanced,balanced,0.315552935451719,0.329375,0.2897933578546948
61,TfIdf-max_features,RF,30,-1,0.36875,balanced,balanced,0.3738187143542865,0.36875,0.36411317183119735
62,TfIdf-max_features,NB,30,-1,0.36,balanced,balanced,0.3142546995867198,0.36,0.3242512505680341
63,TfIdf-max_features,SVM,35,-1,0.325,balanced,balanced,0.3050756169444682,0.325,0.2848449012764855
64,TfIdf-max_features,RF,35,-1,0.38875,balanced,balanced,0.39378489969839725,0.38875,0.38234199459023943
65,TfIdf-max_features,NB,35,-1,0.36375,balanced,balanced,0.31768379530867075,0.36375,0.32617870111307323
66,TfIdf-max_features,SVM,40,-1,0.27875,balanced,balanced,0.2744342496793052,0.27875,0.24330923900351986
67,TfIdf-max_features,RF,40,-1,0.391875,balanced,balanced,0.4032747661727314,0.391875,0.3883519964688382
68,TfIdf-max_features,NB,40,-1,0.36875,balanced,balanced,0.3210109450421886,0.36875,0.32941715964260254
69,TfIdf-max_features,SVM,45,-1,0.370625,balanced,balanced,0.35276591521688205,0.370625,0.3178989897134478
70,TfIdf-max_features,RF,45,-1,0.388125,balanced,balanced,0.4047211491769688,0.388125,0.3849644718885321
71,TfIdf-max_features,NB,45,-1,0.366875,balanced,balanced,0.3160462587780254,0.366875,0.3277749274832152
72,TfIdf-max_features,SVM,50,-1,0.330625,balanced,balanced,0.2980231609019488,0.330625,0.26758376819276436
73,TfIdf-max_features,RF,50,-1,0.399375,balanced,balanced,0.4159361274786224,0.399375,0.39636372818002724
74,TfIdf-max_features,NB,50,-1,0.36375,balanced,balanced,0.3166773559485776,0.36375,0.32335588253876424
75,TfIdf-max_features,SVM,55,-1,0.220625,balanced,balanced,0.28559515698631693,0.220625,0.17543756338615737
76,TfIdf-max_features,RF,55,-1,0.40375,balanced,balanced,0.4168798886506961,0.40375,0.39963360658393365
77,TfIdf-max_features,NB,55,-1,0.36625,balanced,balanced,0.3232752395048058,0.36625,0.32763175067343964
78,TfIdf-max_features,SVM,60,-1,0.25625,balanced,balanced,0.2348749739587732,0.25625,0.19019726957957508
79,TfIdf-max_features,RF,60,-1,0.39125,balanced,balanced,0.405151494983725,0.39125,0.3879269613648285
80,TfIdf-max_features,NB,60,-1,0.370625,balanced,balanced,0.3272286518980128,0.370625,0.3315364607282803
81,TfIdf-max_features,SVM,65,-1,0.330625,balanced,balanced,0.2578969425540432,0.330625,0.2555100468591619
82,TfIdf-max_features,RF,65,-1,0.3975,balanced,balanced,0.399236649100013,0.3975,0.38991640839574204
83,TfIdf-max_features,NB,65,-1,0.375,balanced,balanced,0.3305788414747739,0.375,0.3336390620496586
