,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.13221,balanced,balanced,0.1408921582970965,0.13221,0.04517461277097129
1,TfIdf-max_features,RF,5,-1,0.17387,balanced,balanced,0.13623913345542907,0.17387,0.15177265512166624
2,TfIdf-max_features,NB,5,-1,0.15123,balanced,balanced,0.1378456595817768,0.15123000000000003,0.11079795670880802
3,TfIdf-max_features,SVM,25,-1,0.15527,balanced,balanced,0.21333575526601348,0.15527,0.10717081767150739
4,TfIdf-max_features,RF,25,-1,0.20801,balanced,balanced,0.16679055483472252,0.20801,0.18393751755271595
5,TfIdf-max_features,NB,25,-1,0.2,balanced,balanced,0.17758503431583725,0.2,0.1607549107447274
6,TfIdf-max_features,SVM,45,-1,0.15102,balanced,balanced,0.22402213339330831,0.15102,0.07272607370017345
7,TfIdf-max_features,RF,45,-1,0.22798,balanced,balanced,0.18279153066605358,0.22798,0.2018993470698153
8,TfIdf-max_features,NB,45,-1,0.21199,balanced,balanced,0.18241979844007716,0.21199,0.17047205261172604
9,TfIdf-max_features,SVM,65,-1,0.12369,balanced,balanced,0.34579944696429726,0.12369,0.06538085839073128
10,TfIdf-max_features,RF,65,-1,0.24988,balanced,balanced,0.20086322428587722,0.24988,0.221772283918654
11,TfIdf-max_features,NB,65,-1,0.2308,balanced,balanced,0.19476646052904972,0.2308,0.18825904582262185
12,TfIdf-max_features,SVM,85,-1,0.17838,balanced,balanced,0.264482966571297,0.17838,0.12738620726073327
13,TfIdf-max_features,RF,85,-1,0.25431,balanced,balanced,0.20562550220803372,0.25431,0.22640752602688885
14,TfIdf-max_features,NB,85,-1,0.23399,balanced,balanced,0.19698975830494667,0.23399,0.1923187255931898
15,TfIdf-max_features,SVM,100,-1,0.16484,balanced,balanced,0.322684479734598,0.16484,0.10958636208087817
16,TfIdf-max_features,RF,100,-1,0.25709,balanced,balanced,0.20744777407588302,0.25709,0.22873586123070366
17,TfIdf-max_features,NB,100,-1,0.23495,balanced,balanced,0.19820061151005358,0.23495,0.19349940484970923
18,TfIdf-max_features,SVM,300,-1,0.15721,balanced,balanced,0.38690383928096916,0.15721,0.11195960227004745
19,TfIdf-max_features,RF,300,-1,0.28031,balanced,balanced,0.22636609898621615,0.28031,0.24962818235510012
20,TfIdf-max_features,NB,300,-1,0.25038,balanced,balanced,0.20928402183896425,0.25038,0.20839342864588734
21,TfIdf-max_features,SVM,500,-1,0.15563,balanced,balanced,0.3894473767701329,0.15563,0.12189189741766028
22,TfIdf-max_features,RF,500,-1,0.29044,balanced,balanced,0.23425109209255984,0.29044,0.25859846370431844
23,TfIdf-max_features,NB,500,-1,0.25951,balanced,balanced,0.2159882805668869,0.25951,0.21708224836453507
24,TfIdf-max_features,SVM,700,-1,0.15222,balanced,balanced,0.34572530310598115,0.15222,0.1031035626936406
25,TfIdf-max_features,RF,700,-1,0.29455,balanced,balanced,0.2380045056458756,0.29455,0.26262266228544234
26,TfIdf-max_features,NB,700,-1,0.26517,balanced,balanced,0.21832515967228616,0.26517,0.22108899714102856
